student_id,problem_id,correctness_rate,attempts,attempted_at,difficulty,submission_count,runtime_ms,source_code,complexity_score,source_cohort,prev_difficulty,label,prev_difficulty_ord,train_test_split
022487bb-6e2c-4a58-9bb3-519cfda75fb1,1,100.0,2,2026-08-18 11:58:06.405705+00:00,easy,1,5938,"def odd_or_even(n):
    """"""
    Print ""Even"" if n is even, or ""Odd"" if n is odd.
    """"""
    if n % 2 == 0:
        print(""Even"")
    else:
        print(""Odd"")
    pass
",0,G2,,hard,-1,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,115,100.0,1,2026-08-18 12:09:48.093504+00:00,hard,1,5808,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def remove_nth_from_end(head, n):
    """"""
    Remove the nth node from the end (single pass, two-pointer) and return the head.
    """"""
    dummy = ListNode(0, head)
    first = dummy
    second = dummy
    
    for _ in range(n + 1):
        first = first.next
    
    while first:
        first = first.next
        second = second.next
    
    second.next = second.next.next
    
    return dummy.next
    pass
",1,G2,easy,hard,0,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,116,100.0,1,2026-08-18 12:16:12.365769+00:00,hard,1,6788,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def is_palindrome_ll(head):
    """"""
    Return True if the linked list reads the same forwards and backwards.
    """"""
    if not head or not head.next:
        return True

    slow = fast = head
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next

    second_half = reverse_list(slow)
    
    first_half = head
    while second_half:
        if first_half.val != second_half.val:
            return False
        first_half = first_half.next
        second_half = second_half.next

    reverse_list(slow)

    return True

def reverse_list(node):
    prev = None
    current = node
    while current:
        next_node = current.next
        current.next = prev
        prev = current
        current = next_node
    return prev
    pass
",1,G2,hard,medium,2,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,117,0.0,2,2026-08-18 12:32:44.728766+00:00,hard,2,4903,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def get_intersection(headA, headB):
    """"""
    Return the node at which two linked lists intersect (same node object), or None if they don't.
    """"""
    if not headA or not headB:
        return None

    lenA = 0
    lenB = 0
    currA = headA
    currB = headB

    while currA:
        lenA += 1
        currA = currA.next

    while currB:
        lenB += 1
        currB = currB.next

    currA = headA
    currB = headB

    if lenA > lenB:
        for _ in range(lenA - lenB):
            currA = currA.next
    else:
        for _ in range(lenB - lenA):
            currB = currB.next

    
    while currA and currB:
        if currA is currB:  
            return currA
        currA = currA.next
        currB = currB.next

    return None
    pass
",1,G2,hard,hard,2,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,112,100.0,5,2026-08-18 12:34:49.188529+00:00,hard,4,5938,"class ListNode:
    def __init__(self, val=0, next=None):
        self.val = val
        self.next = next

def find_middle(head):
    """"""
    Return the value of the middle node using slow/fast pointers (second middle if even length).
    """"""
    if not head:
        return None

    slow = fast = head
    
    while fast and fast.next:
        slow = slow.next
        fast = fast.next.next
    
    return slow.val",1,G2,hard,easy,2,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,5,0.0,5,2026-08-18 14:56:58.021941+00:00,easy,5,5853,"def simple_calculator(a, b, op):
    """"""
    Print the result of applying op ('+','-','*','/') to a and b, rounded to 2 decimal places. Handle division by zero and unknown operators.
    """"""
    pass
",0,G2,hard,easy,2,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,96,0.0,4,2026-08-18 14:57:03.140656+00:00,medium,4,4924,"def flood_fill(grid, row, col, new_color):
    """"""
    Flood-fill connected same-colored cells from (row, col) with new_color. Return a modified deep copy.
    """"""
    pass
",0,G2,easy,easy,0,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,60,0.0,5,2026-08-18 14:57:03.304995+00:00,medium,5,6861,"class Pet:
    def __init__(self, name, age, owner):
        pass

    def info(self):
        pass

    def sound(self):
        pass

    def human_age(self):
        pass

class Dog(Pet):
    def __init__(self, name, age, owner, breed):
        super().__init__(name, age, owner)
        pass

    def sound(self):
        pass

    def info(self):
        pass

class Cat(Pet):
    def __init__(self, name, age, owner, indoor):
        super().__init__(name, age, owner)
        pass

    def sound(self):
        pass

    def info(self):
        pass

class Parrot(Pet):
    def __init__(self, name, age, owner, phrase):
        super().__init__(name, age, owner)
        pass

    def sound(self):
        pass

    def info(self):
        pass
",3,G2,medium,medium,1,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,131,0.0,5,2026-08-18 14:57:10.226195+00:00,hard,5,6839,"def partition(arr, low, high):
    """"""
    Partition arr[low:high+1] around the last element as pivot; return the pivot's final index.
    """"""
    pass

def quicksort(arr):
    """"""
    Sort arr ascending using quicksort (last element as pivot). Return the sorted list.
    """"""
    pass
",0,G2,medium,medium,1,TRAIN
022487bb-6e2c-4a58-9bb3-519cfda75fb1,104,0.0,5,2026-08-18 14:57:10.643455+00:00,hard,5,5875,"def next_greater(nums):
    """"""
    Use a stack to return, for each element, the next greater element to its right (-1 if none).
    """"""
    pass
",0,G2,hard,medium,2,TRAIN
