student_id,problem_id,difficulty,correctness_rate,runtime_ms,attempts,complexity_score,prev_difficulty,prev_difficulty_ord,label,train_test_split
S011,helloWorld,medium,0.25,250.0,4,0,,-1,0,TRAIN
S011,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S011,raiseToPower,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S011,convertToDegrees,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S011,isPunctuation,hard,0.0,250.0,3,0,easy,0,0,TRAIN
S011,findRoot,easy,0.0,250.0,1,0,hard,2,0,TRAIN
S011,intToFloat,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S011,leftoverCandy,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S011,howManyEggCartons,hard,1.0,250.0,1,0,easy,0,0,TRAIN
S011,backwardsCombine,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S011,singlePigLatin,medium,0.5,250.0,4,1,easy,0,0,TRAIN
S011,hasTwoDigits,medium,0.5,250.0,2,0,medium,1,0,TRAIN
S011,overNineThousand,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S011,canDrinkAlcohol,medium,0.3333333333333333,250.0,3,0,easy,0,1,TRAIN
S011,isEvenPositiveInt,hard,1.0,250.0,2,0,medium,1,0,TRAIN
S011,isSubstring,medium,0.8,250.0,5,0,hard,2,1,TRAIN
S011,sumOfDigits,hard,0.0,250.0,2,1,medium,1,0,TRAIN
S014,helloWorld,medium,0.5,250.0,2,0,,-1,0,TRAIN
S014,raiseToPower,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S014,convertToDegrees,easy,0.5,250.0,2,0,easy,0,1,TRAIN
S014,intToFloat,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S014,leftoverCandy,easy,0.5,250.0,2,0,easy,0,1,TRAIN
S020,helloWorld,medium,0.16666666666666666,250.0,6,0,,-1,0,TRAIN
S020,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S020,convertToDegrees,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S020,isPunctuation,hard,0.0,250.0,18,1,easy,0,0,TRAIN
S020,findRoot,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S020,intToFloat,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S020,howManyEggCartons,hard,0.0,250.0,3,0,easy,0,0,TRAIN
S020,leftoverCandy,easy,1.0,250.0,1,0,hard,2,1,TRAIN
S020,nearestBusStop,hard,0.16666666666666666,250.0,6,0,hard,2,0,TRAIN
S020,backwardsCombine,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S020,firstAndLast,medium,0.5,250.0,2,0,easy,0,0,TRAIN
S034,helloWorld,medium,0.25,250.0,4,0,,-1,0,TRAIN
S049,helloWorld,medium,1.0,250.0,1,0,,-1,0,TRAIN
S049,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S049,raiseToPower,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S049,convertToDegrees,easy,0.25,250.0,4,0,easy,0,1,TRAIN
S049,isPunctuation,hard,0.5,250.0,2,0,easy,0,0,TRAIN
S049,intToFloat,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S049,leftoverCandy,easy,0.14285714285714285,250.0,7,0,easy,0,1,TRAIN
S053,helloWorld,medium,1.0,250.0,1,0,,-1,0,TRAIN
S053,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S053,raiseToPower,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S053,convertToDegrees,easy,0.5,250.0,2,0,easy,0,1,TRAIN
S053,isPunctuation,hard,0.0,250.0,5,0,easy,0,0,TRAIN
S053,findRoot,easy,0.5,250.0,4,0,hard,2,0,TRAIN
S053,intToFloat,easy,0.5,250.0,2,0,easy,0,0,TRAIN
S053,leftoverCandy,easy,0.5,250.0,2,0,easy,0,1,TRAIN
S053,howManyEggCartons,hard,0.0,250.0,8,0,easy,0,1,TRAIN
S053,kthDigit,hard,0.25,250.0,4,0,hard,2,0,TRAIN
S053,backwardsCombine,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S053,firstAndLast,medium,1.0,250.0,1,0,easy,0,0,TRAIN
S053,singlePigLatin,medium,0.125,250.0,8,0,medium,1,0,TRAIN
S053,overNineThousand,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S053,hasTwoDigits,medium,1.0,250.0,1,0,easy,0,0,TRAIN
S053,canDrinkAlcohol,medium,0.5,250.0,2,0,medium,1,1,TRAIN
S053,isEvenPositiveInt,hard,0.05555555555555555,250.0,18,0,medium,1,0,TRAIN
S053,isSubstring,medium,1.0,250.0,1,0,hard,2,1,TRAIN
S053,createNumberBlock,hard,0.0,250.0,3,2,medium,1,0,TRAIN
S053,castString,easy,0.5,250.0,2,0,hard,2,0,TRAIN
S053,stockChange,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S053,anyLowercase,hard,0.0,250.0,6,1,easy,0,0,TRAIN
S053,isPrime,medium,1.0,250.0,1,1,hard,2,0,TRAIN
S053,middleElement,easy,0.125,250.0,8,0,medium,1,1,TRAIN
S053,reduceToPositive,hard,0.0,250.0,7,1,easy,0,0,TRAIN
S054,helloWorld,medium,0.5,250.0,2,0,,-1,0,TRAIN
S054,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S054,raiseToPower,easy,0.5,250.0,2,0,easy,0,1,TRAIN
S054,isPunctuation,hard,0.0,250.0,5,0,easy,0,0,TRAIN
S054,intToFloat,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S054,leftoverCandy,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S062,raiseToPower,easy,0.5,250.0,2,0,,-1,0,TRAIN
S062,convertToDegrees,easy,0.0,250.0,2,0,easy,0,0,TRAIN
S062,intToFloat,easy,0.0,250.0,1,0,easy,0,0,TRAIN
S062,leftoverCandy,easy,0.3333333333333333,250.0,3,0,easy,0,1,TRAIN
S062,howManyEggCartons,hard,0.0,250.0,6,0,easy,0,1,TRAIN
S072,helloWorld,medium,0.5,250.0,2,0,,-1,0,TRAIN
S072,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S072,raiseToPower,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S072,convertToDegrees,easy,0.2857142857142857,250.0,7,0,easy,0,1,TRAIN
S072,isPunctuation,hard,0.0,250.0,2,0,easy,0,0,TRAIN
S072,findRoot,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S072,intToFloat,easy,1.0,250.0,1,0,easy,0,0,TRAIN
S072,leftoverCandy,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S072,nearestBusStop,hard,0.5,250.0,2,0,easy,0,0,TRAIN
S072,backwardsCombine,easy,1.0,250.0,1,0,hard,2,0,TRAIN
S072,firstAndLast,medium,1.0,250.0,1,0,easy,0,0,TRAIN
S072,singlePigLatin,medium,0.3333333333333333,250.0,3,0,medium,1,0,TRAIN
S072,overNineThousand,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S072,hasTwoDigits,medium,0.5,250.0,2,0,easy,0,0,TRAIN
S072,canDrinkAlcohol,medium,0.25,250.0,4,0,medium,1,0,TRAIN
S072,isSubstring,medium,0.2,250.0,5,0,medium,1,1,TRAIN
S072,oneToN,hard,0.5,250.0,2,1,medium,1,0,TRAIN
S072,carefulSquareRoot,easy,0.16666666666666666,250.0,6,0,hard,2,0,TRAIN
S072,castString,easy,0.5,250.0,2,0,easy,0,0,TRAIN
S089,raiseToPower,easy,1.0,250.0,1,0,,-1,0,TRAIN
S089,intToFloat,easy,1.0,250.0,1,0,easy,0,1,TRAIN
S089,howManyEggCartons,hard,0.0,250.0,10,0,easy,0,0,TRAIN
S089,leftoverCandy,easy,1.0,250.0,1,0,hard,2,1,TRAIN
S089,nearestBusStop,hard,0.0,250.0,2,0,easy,0,0,TRAIN
S089,backwardsCombine,easy,0.2,250.0,5,0,hard,2,0,TRAIN
S089,firstAndLast,medium,0.0,250.0,25,0,easy,0,0,TRAIN
S089,overNineThousand,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S089,helloWorld,medium,1.0,250.0,1,0,easy,0,0,TRAIN
S089,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S110,helloWorld,medium,1.0,250.0,1,0,,-1,0,TRAIN
S110,doubleX,easy,1.0,250.0,1,0,medium,1,0,TRAIN
S110,raiseToPower,easy,0.6666666666666666,250.0,3,0,easy,0,1,TRAIN
